Symbol,Company Name,Sector,Previous Price,Predicted Price,Change ($),Change (%),New/Old Ratio,MSE,R2,Sentiment Score,Sentiment Validity
AAPL,Apple Inc.,Technology,,,,,,,,0.6,0.6
V,Visa Inc.,Financials,,,,,,,,0.7,0.9
JNJ,Johnson & Johnson,Healthcare,,,,,,,,0.8,0.9
PYPL,PayPal Holdings,Fintech,,,,,,,,0.6,0.9
JPM,JPMorgan Chase & Co.,Financials,,,,,,,,0.7,0.9
WMT,Walmart Inc.,Consumer Staples,,,,,,,,0.7,0.8
TSLA,Tesla Inc.,Consumer Discretionary,,,,,,,,0.4,0.6
AMD,Advanced Micro Devices,Semiconductors,,,,,,,,0.2,0.9
META,Meta Platforms (Facebook),Communication Services,,,,,,,,0.6,0.5
MSFT,Microsoft Corp.,Technology,,,,,,,,0.3,0.6
T,AT&T Inc.,Telecom,,,,,,,,0.6,0.7
AMZN,Amazon.com Inc.,Consumer Discretionary,,,,,,,,0.6,0.9
VZ,Verizon Communications,Telecom,,,,,,,,0.5,0.8
ADBE,Adobe Inc.,Software,,,,,,,,0.65,0.8
KO,Coca-Cola Co.,Consumer Staples,,,,,,,,0.2,0.9
CRM,Salesforce Inc.,Cloud Computing,,,,,,,,0.7,0.9
PG,Procter & Gamble,Consumer Staples,,,,,,,,0.7,0.9
PFE,Pfizer Inc.,Healthcare,,,,,,,,0.2,0.8
GOOGL,Alphabet Inc. (Google),Technology,,,,,,,,0.7,0.9
NVDA,NVIDIA Corp.,Semiconductors,,,,,,,,0.7,0.8
